time,x,y
0.0,-0.10063141140766378,0.10883159228057482
0.033,-0.09059405600061689,0.11823294195389714
0.066,-0.07920143406343566,0.1266732477310409
0.099,-0.07943489965132947,0.12639683231556448
0.132,-0.07814556865605886,0.12642268581940402
0.165,-0.077209576643429,0.12561158846476048
0.198,-0.07512312124599466,0.12494501268230006
0.231,-0.07308640588969781,0.12376206559591059
0.264,-0.07025107543902366,0.1226550066548286
0.29700000000000004,-0.06726684315020966,0.12133325311157318
0.33,-0.06363037192493831,0.12016572853129104
0.363,-0.059732179424071746,0.11900936613433993
0.396,-0.05542091568442299,0.11800374750635757
0.42900000000000005,-0.04914009138915633,0.11780764917721458
0.462,-0.04249819995110214,0.11755412318834445
0.495,-0.03541992796738291,0.1172316533464554
0.528,-0.027825474799671134,0.11682546617044302
0.561,-0.019629190475833606,0.11631703196450204
0.5940000000000001,-0.010739269441159877,0.11568308351840102
0.627,-0.0010557498533075062,0.11489470628756872
0.66,0.00953086103142802,0.11391569138175639
0.6930000000000001,0.009311693242054662,0.11424499983848509
0.726,0.008553657675835996,0.11547891614775495
0.759,0.018075111995791843,0.11621242409403224
0.792,0.027105724884388786,0.11678366791439015
0.8250000000000001,0.03551498272103839,0.11723635634956563
0.8580000000000001,0.04339923622625702,0.11759137120355598
0.891,0.05085160771761016,0.11775961852957244
0.924,0.05816412118870873,0.11106891357182273
0.9570000000000001,0.0654766346598073,0.09369511861407306
0.99,0.07236235875705982,0.07610071943646247
1.0230000000000001,0.07786851990730845,0.07722296676551801
1.056,0.08016662383524245,0.08009466541851451
1.089,0.08285988924965883,0.08156347735590475
1.122,0.08564779343896126,0.08182547605427905
1.155,0.08744908652950814,0.08199024462175344
1.1880000000000002,0.08828375706256415,0.08206539389835554
1.221,0.08816141618077285,0.08205446201489787
1.254,0.087081524834623,0.0819569343750145
1.2870000000000001,0.0850332263908847,0.08176842329196266
1.32,0.0819951941930121,0.08148053668974281
1.353,0.07793569452218722,0.08108024662007374
1.3860000000000001,0.07396038458050623,0.07957647493131517
1.419,0.06990609126322989,0.07739016595086484
1.452,0.0649934032859361,0.07547566328930262
1.485,0.05930630319180562,0.07390286775583191
1.518,0.05344332104550903,0.07232698308173546
1.5510000000000002,0.04558155761927284,0.07201946672194164
1.584,0.037269227243964684,0.0716220134373979
1.617,0.028412715166577424,0.07111630166745678
1.6500000000000001,0.018912388514041274,0.07047923595670483
1.683,0.008662519364411876,0.06968168691060903
1.7160000000000002,0.004928942089364784,0.06859140178250327
1.749,-0.012923101789269913,0.06762765075544835
1.782,-0.017828155569303544,0.06841215148689968
1.8150000000000002,-0.022230772110373675,0.0706592797697199
1.848,-0.032622614207848157,0.07136728505796577
1.881,-0.04255136165309592,0.07177872066171612
1.9140000000000001,-0.0522832863292267,0.06531417381189622
1.947,-0.06201521100535748,0.04816653696207633
1.98,-0.07052285481534186,0.033592320493609745
2.013,-0.07647555323431224,0.03457522338485325
2.0460000000000003,-0.08199407133170689,0.03387005769222082
2.079,-0.08519098711949978,0.03610559576776855
2.112,-0.08807064930394434,0.03639699036828833
2.145,-0.08988941060291619,0.03657646244762934
2.178,-0.09066753457302075,0.03665213173101631
2.2110000000000003,-0.090414096952314,0.03662754376075492
2.244,-0.08912713462489287,0.03650168311575296
2.277,-0.08679364914227028,0.03626890320079006
2.31,-0.08338949033526416,0.03591871432857364
